OrderID,Product,Category,Sales,Profit,Quantity,Region,Date
1001,Laptop,Electronics,55000,5000,2,South,2024-01-05
1002,Mobile,Electronics,25000,3000,3,North,2024-01-06
1003,Tablet,Electronics,18000,2000,2,East,2024-01-07
1004,Chair,Furniture,7000,800,5,West,2024-01-08
1005,Desk,Furniture,12000,1500,2,South,2024-01-09
1006,Printer,Electronics,15000,1800,1,North,2024-01-10
1007,Sofa,Furniture,30000,4000,1,East,2024-01-11
1008,Monitor,Electronics,22000,2500,2,West,2024-01-12
1009,Keyboard,Electronics,3000,500,6,South,2024-01-13
1010,Mouse,Electronics,1500,200,8,North,2024-01-14
1011,Laptop,Electronics,,4500,2,East,2024-01-15
1012,Chair,Furniture,7000,800,5,West,2024-01-16
1013,Desk,Furniture,12000,,2,South,2024-01-17
1014,Printer,Electronics,15000,1800,1,North,2024-01-18
1015,Sofa,Furniture,30000,4000,1,East,2024-01-19
1016,Monitor,Electronics,22000,2500,2,West,2024-01-20
1017,Keyboard,Electronics,3000,500,6,South,2024-01-21
1018,Mouse,Electronics,1500,200,8,North,2024-01-22
1019,Laptop,Electronics,990000,90000,1,South,2024-01-23
1020,Chair,Furniture,7000,800,5,West,2024-01-24
